repetition,cluster_size,batched_send_interval,workload,runtime,tasks,tasks_per_sec,batched_send_interval_ms
3,10,2ms,shuffle,,,,2
0,10,75ms,shuffle,7.149977523000017,22934.0,3207.5625309626507,75
0,10,50ms,shuffle,7.195932121999987,22934.0,3187.0784230835525,50
1,20,2ms,shuffle,18.08525976200002,58500.0,3234.678449182008,2
1,10,50ms,shuffle,7.359039463000045,22934.0,3116.439328163426,50
0,10,25ms,shuffle,7.408534876999965,22934.0,3095.618820827765,25
2,50,10ms,shuffle,46.40160322399993,127046.0,2737.9657419743853,10
4,50,50ms,shuffle,47.24764029599999,127046.0,2688.938520613394,50
3,20,5ms,shuffle,17.752386908999938,58500.0,3295.3315123129846,5
2,50,200ms,shuffle,46.064987166999906,127046.0,2757.973198590477,200
3,20,500ms,shuffle,18.15909121200002,58500.0,3221.526854897981,500
2,50,75ms,shuffle,46.724641229999854,127046.0,2719.0363939794,75
2,10,50ms,shuffle,7.064201713999864,22934.0,3246.5097867391446,50
1,100,10ms,shuffle,100.42706555599987,277520.0,2763.398476930007,10
1,10,500ms,shuffle,7.334031583000069,22934.0,3127.0658900842345,500
4,10,10ms,shuffle,7.237480086999994,22934.0,3168.782466316445,10
1,20,5ms,shuffle,18.08098262099998,58500.0,3235.443627497089,5
2,100,50ms,shuffle,100.14306860700005,277520.0,2771.235232356373,50
0,50,500ms,shuffle,46.26625445000013,127046.0,2745.975474139546,500
0,20,100ms,shuffle,,,,100
0,20,5ms,shuffle,18.586077250000017,58500.0,3147.5173170282583,5
2,10,100ms,shuffle,7.334374268999909,22934.0,3126.919783318776,100
3,50,100ms,shuffle,46.953646811000006,127046.0,2705.7749211981645,100
0,50,50ms,shuffle,46.74619024199956,127046.0,2717.782975303393,50
2,20,75ms,shuffle,17.485159600000316,58500.0,3345.6943681542916,75
1,10,25ms,shuffle,7.2608399709997675,22934.0,3158.587724230224,25
3,20,50ms,shuffle,18.23902484400014,58500.0,3207.4083181724486,50
0,20,2ms,shuffle,17.827837964000082,58500.0,3281.384995652843,2
4,20,5ms,shuffle,17.35877084799995,58500.0,3370.0542804699953,5
3,100,25ms,shuffle,99.47106637900015,277520.0,2789.9570206938956,25
0,100,5ms,shuffle,97.04959370600001,277520.0,2859.5689008313957,5
4,10,2ms,shuffle,7.678797606999979,22934.0,2986.6655137639523,2
1,20,100ms,shuffle,18.68452784900001,58500.0,3130.9327413981673,100
1,50,100ms,shuffle,49.68757930599986,127046.0,2556.8965478795017,100
2,10,10ms,shuffle,,,,10
2,100,25ms,shuffle,100.65443327699995,277520.0,2757.156251988105,25
1,100,500ms,shuffle,100.30767221599992,277520.0,2766.6876707336573,500
2,20,10ms,shuffle,18.201263185000247,58500.0,3214.0626397958,10
1,20,50ms,shuffle,18.043359719000364,58500.0,3242.189975207179,50
2,10,25ms,shuffle,7.390844716000174,22934.0,3103.0282574265166,25
0,50,2ms,shuffle,47.258165355000536,127046.0,2688.3396561342993,2
3,50,75ms,shuffle,46.79872746599994,127046.0,2714.7319356557514,75
2,20,50ms,shuffle,18.552175997999253,58500.0,3153.268921462846,50
1,50,75ms,shuffle,47.70790414799922,127046.0,2662.9968821493085,75
4,20,25ms,shuffle,18.93833268200069,58500.0,3088.9730887238757,25
0,50,100ms,shuffle,47.270521704999744,127046.0,2687.636933496389,100
3,10,5ms,shuffle,7.275921875999303,22934.0,3152.040441177793,5
0,10,500ms,shuffle,,,,500
0,50,25ms,shuffle,47.01736537699982,127046.0,2702.1080186289846,25
4,50,75ms,shuffle,47.007742195999526,127046.0,2702.6611801579343,75
1,10,200ms,shuffle,7.668180079999728,22934.0,2990.8009150459093,200
4,20,75ms,shuffle,17.92185021899968,58500.0,3264.171906647327,75
4,20,10ms,shuffle,18.283836637000608,58500.0,3199.5472920390685,10
1,20,75ms,shuffle,18.67096713499995,58500.0,3133.206736266913,75
4,20,2ms,shuffle,18.010626027999933,58500.0,3248.082543552562,2
4,100,5ms,shuffle,,,,5
3,100,200ms,shuffle,,,,200
4,10,200ms,shuffle,7.632969083000718,22934.0,3004.597523010541,200
4,50,10ms,shuffle,,,,10
4,10,75ms,shuffle,7.474527534999652,22934.0,3068.287579731428,75
4,100,2ms,shuffle,97.89075416299966,277520.0,2834.9970574125564,2
3,50,50ms,shuffle,47.73644627199974,127046.0,2661.404648265994,50
0,20,200ms,shuffle,17.840723970999534,58500.0,3279.014915263134,200
4,20,500ms,shuffle,18.236274288001372,58500.0,3207.8920878312465,500
2,20,500ms,shuffle,18.341415353001143,58500.0,3189.5030385660966,500
2,20,2ms,shuffle,18.122522497998947,58500.0,3228.0274452113085,2
2,100,2ms,shuffle,100.91965073100071,277520.0,2749.910428641137,2
3,100,100ms,shuffle,,,,100
4,100,75ms,shuffle,98.22400610299884,277520.0,2825.378550626303,75
0,10,5ms,shuffle,7.404368751000219,22934.0,3097.3605949733337,5
3,10,25ms,shuffle,7.258441848000075,22934.0,3159.6312928123857,25
4,10,500ms,shuffle,,,,500
0,10,2ms,shuffle,7.312805682000544,22934.0,3136.142405157689,2
0,100,50ms,shuffle,101.8664061670006,277520.0,2724.352516618987,50
2,100,75ms,shuffle,96.74571816900058,277520.0,2868.5507250585833,75
0,50,75ms,shuffle,46.878129922999506,127046.0,2710.1337064571826,75
0,50,5ms,shuffle,45.86885488200096,127046.0,2769.766115304813,5
3,100,50ms,shuffle,,,,50
4,100,25ms,shuffle,,,,25
1,100,2ms,shuffle,,,,2
2,100,100ms,shuffle,,,,100
1,50,50ms,shuffle,46.57055195800057,127046.0,2728.0329448226385,50
0,100,75ms,shuffle,99.24275723800021,277520.0,2796.375349935735,75
4,20,200ms,shuffle,18.375612931000433,58500.0,3183.5672758054257,200
4,50,500ms,shuffle,45.4679018049992,127046.0,2794.19095573993,500
0,100,100ms,shuffle,,,,100
4,50,5ms,shuffle,47.65953189299944,127046.0,2665.699702742179,5
1,50,5ms,shuffle,47.671537100000926,127046.0,2665.028394899344,5
0,10,100ms,shuffle,7.616197683000793,22934.0,3011.2138569076596,100
2,10,200ms,shuffle,7.588944063001691,22934.0,3022.027809087422,200
1,20,500ms,shuffle,18.505371510000263,58500.0,3161.244288902102,500
2,50,25ms,shuffle,46.23241176999727,127046.0,2747.985561126341,25
3,10,75ms,shuffle,7.32668151300095,22934.0,3130.2029383022023,75
4,50,100ms,shuffle,47.14824841700101,127046.0,2694.6069952874213,100
2,100,5ms,shuffle,,,,5
3,10,100ms,shuffle,7.365957758996957,22934.0,3113.512288607393,100
0,50,200ms,shuffle,47.06573114899948,127046.0,2699.3312734864576,200
2,10,500ms,shuffle,7.4146450180014645,22934.0,3093.0678332300804,500
3,20,75ms,shuffle,18.551483675997588,58500.0,3153.3865981667486,75
3,20,25ms,shuffle,18.154140836002625,58500.0,3222.4053194511384,25
0,100,25ms,shuffle,98.84985894900093,277520.0,2807.4900960979558,25
1,100,50ms,shuffle,,,,50
1,50,200ms,shuffle,,,,200
1,100,100ms,shuffle,,,,100
4,10,5ms,shuffle,6.980468785000994,22934.0,3285.4526975721924,5
4,10,100ms,shuffle,7.4446526229985475,22934.0,3080.6004203810216,100
3,10,10ms,shuffle,7.484410263998143,22934.0,3064.2360842133667,10
1,50,10ms,shuffle,,,,10
3,10,50ms,shuffle,7.523932980999234,22934.0,3048.1398568962527,50
0,20,75ms,shuffle,17.588590212999407,58500.0,3326.019839655126,75
0,100,10ms,shuffle,100.32056256500073,277520.0,2766.332174624583,10
3,50,200ms,shuffle,47.056032946002226,127046.0,2699.887603057995,200
1,10,5ms,shuffle,7.841719591000582,22934.0,2924.6136301940483,5
0,10,200ms,shuffle,7.849043893002089,22934.0,2921.884539395567,200
4,20,100ms,shuffle,17.960532287001115,58500.0,3257.141774263517,100
0,100,200ms,shuffle,101.52145064799696,277520.0,2733.6094808400526,200
1,50,2ms,shuffle,47.09104824799942,127046.0,2697.8800584545775,2
3,20,200ms,shuffle,19.046409149999818,58500.0,3071.4450970408016,200
1,50,500ms,shuffle,46.84353634400031,127046.0,2712.1351186431502,500
2,10,5ms,shuffle,7.563658589999251,22934.0,3032.1305129138927,5
3,100,2ms,shuffle,,,,2
4,100,100ms,shuffle,,,,100
