repetition,cluster_size,batched_send_interval,workload,runtime,tasks
0,2,15ms,shuffle,1.2050791180000715,2390
0,2,2ms,shuffle,1.1716958109999496,2390
0,2,5ms,shuffle,1.2554297639999277,2390
0,2,10ms,shuffle,1.3820111429999997,2390
0,2,20ms,shuffle,1.203096526999957,2390
0,2,75ms,shuffle,1.2574706159999778,2390
0,2,30ms,shuffle,1.188020372999972,2390
0,2,50ms,shuffle,1.2540223690000403,2390
0,2,10ms,shuffle,1.1573643680000032,2390
0,2,500ms,shuffle,1.3227857159999985,2390
0,2,200ms,shuffle,1.302521722999927,2390
0,10,2ms,shuffle,9.157987550000144,22934
0,10,10ms,shuffle,8.931484773000193,22934
0,10,5ms,shuffle,9.066913889000034,22934
0,10,15ms,shuffle,9.026652686000034,22934
0,10,20ms,shuffle,9.159620371000074,22934
0,10,50ms,shuffle,8.906405525000082,22934
0,10,30ms,shuffle,8.892214598999999,22934
0,10,75ms,shuffle,8.91672446199982,22934
0,10,10ms,shuffle,9.243156634999877,22934
0,10,200ms,shuffle,9.284204581999802,22934
0,10,500ms,shuffle,8.536564336999845,22934
0,20,2ms,shuffle,21.249467991999836,58500
0,20,5ms,shuffle,22.101477580999926,58500
0,20,15ms,shuffle,21.403130207999993,58500
0,20,10ms,shuffle,21.899960571999827,58500
0,20,30ms,shuffle,22.02526809699998,58500
0,20,20ms,shuffle,21.94196880300001,58500
0,20,50ms,shuffle,20.91202624699963,58500
0,20,75ms,shuffle,21.136568652999813,58500
0,20,10ms,shuffle,21.595111036000162,58500
0,20,200ms,shuffle,21.448145937999925,58500
0,20,500ms,shuffle,21.810905704000106,58500
0,50,2ms,shuffle,54.654748863999885,127046
0,50,10ms,shuffle,56.19477856000003,127046
0,50,15ms,shuffle,55.55245647699985,127046
0,50,5ms,shuffle,55.20579124699998,127046
0,50,20ms,shuffle,56.13460923499997,127046
0,50,50ms,shuffle,55.37271380099992,127046
0,50,75ms,shuffle,55.90885756199987,127046
0,50,30ms,shuffle,55.59541956999965,127046
0,50,10ms,shuffle,55.74366817700002,127046
0,50,200ms,shuffle,55.640895180999905,127046
0,50,500ms,shuffle,55.72417690700013,127046
0,100,5ms,shuffle,nan,nan
0,100,2ms,shuffle,nan,nan
0,100,15ms,shuffle,nan,nan
0,100,10ms,shuffle,nan,nan
0,100,20ms,shuffle,nan,nan
0,100,30ms,shuffle,nan,nan
0,100,50ms,shuffle,nan,nan
0,100,75ms,shuffle,nan,nan
1,2,2ms,shuffle,1.1032296909997967,2390
0,100,10ms,shuffle,nan,nan
0,100,200ms,shuffle,nan,nan
1,2,15ms,shuffle,1.3056718059997365,2390
1,2,10ms,shuffle,1.4827678359997662,2390
0,100,500ms,shuffle,nan,nan
1,2,30ms,shuffle,1.246998602999156,2390
1,2,20ms,shuffle,1.2247632779999549,2390
1,2,5ms,shuffle,nan,nan
1,2,50ms,shuffle,1.0929743159995269,2390
1,2,75ms,shuffle,1.290243420000479,2390
1,2,10ms,shuffle,1.2639287829988461,2390
1,2,200ms,shuffle,1.221031776000018,2390
1,2,500ms,shuffle,1.21935759400003,2390
1,10,5ms,shuffle,9.325542888998825,22934
1,10,2ms,shuffle,8.645159834999504,22934
1,10,10ms,shuffle,8.605958530999487,22934
1,10,15ms,shuffle,8.74736572799884,22934
1,10,30ms,shuffle,9.171692959998836,22934
1,10,20ms,shuffle,9.110112915001082,22934
1,10,50ms,shuffle,9.300641993000681,22934
1,10,75ms,shuffle,9.425394476998918,22934
1,10,200ms,shuffle,8.98557481700118,22934
1,10,10ms,shuffle,8.611769776000074,22934
1,10,500ms,shuffle,9.304764609998529,22934
1,20,2ms,shuffle,21.408136759000627,58500
1,20,5ms,shuffle,21.630352710999432,58500
1,20,10ms,shuffle,21.086882349998632,58500
1,20,15ms,shuffle,21.524928892999014,58500
1,20,20ms,shuffle,21.63613299499775,58500
1,20,30ms,shuffle,21.936305352999625,58500
1,20,50ms,shuffle,21.692713403001108,58500
1,20,75ms,shuffle,21.565372779001336,58500
1,20,10ms,shuffle,21.44306158499967,58500
1,20,500ms,shuffle,21.055107562002377,58500
1,20,200ms,shuffle,20.618967597998562,58500
1,50,2ms,shuffle,55.27226836599948,127046
1,50,10ms,shuffle,56.147277767999185,127046
1,50,15ms,shuffle,55.12133974099925,127046
1,50,5ms,shuffle,56.11250471599851,127046
1,50,20ms,shuffle,55.24387213400041,127046
1,50,30ms,shuffle,55.03044016400236,127046
1,50,75ms,shuffle,55.904949414998555,127046
1,50,50ms,shuffle,55.527838730999065,127046
1,50,500ms,shuffle,55.37517301600019,127046
1,50,200ms,shuffle,55.182483764998324,127046
1,50,10ms,shuffle,54.43463823800266,127046
1,100,2ms,shuffle,119.20399744099996,277520
1,100,10ms,shuffle,nan,nan
1,100,15ms,shuffle,nan,nan
1,100,5ms,shuffle,nan,nan
1,100,20ms,shuffle,nan,nan
