repetition,cluster_size,batched_send_interval,workload,runtime,tasks
3,10,2ms,shuffle,nan,nan
0,10,75ms,shuffle,7.149977523000018,22934
0,10,50ms,shuffle,7.195932121999988,22934
1,20,2ms,shuffle,18.08525976200002,58500
1,10,50ms,shuffle,7.359039463000045,22934
0,10,25ms,shuffle,7.4085348769999655,22934
2,50,10ms,shuffle,46.40160322399993,127046
4,50,50ms,shuffle,47.247640295999986,127046
3,20,5ms,shuffle,17.752386908999938,58500
2,50,200ms,shuffle,46.06498716699991,127046
3,20,500ms,shuffle,18.15909121200002,58500
2,50,75ms,shuffle,46.72464122999986,127046
2,10,50ms,shuffle,7.064201713999864,22934
1,100,10ms,shuffle,100.42706555599989,277520
1,10,500ms,shuffle,7.334031583000069,22934
4,10,10ms,shuffle,7.2374800869999945,22934
1,20,5ms,shuffle,18.080982620999976,58500
2,100,50ms,shuffle,100.14306860700003,277520
0,50,500ms,shuffle,46.26625445000013,127046
0,20,100ms,shuffle,nan,nan
0,20,5ms,shuffle,18.586077250000017,58500
2,10,100ms,shuffle,7.334374268999909,22934
3,50,100ms,shuffle,46.953646811,127046
0,50,50ms,shuffle,46.74619024199956,127046
2,20,75ms,shuffle,17.485159600000316,58500
1,10,25ms,shuffle,7.260839970999768,22934
3,20,50ms,shuffle,18.23902484400014,58500
0,20,2ms,shuffle,17.827837964000082,58500
4,20,5ms,shuffle,17.35877084799995,58500
3,100,25ms,shuffle,99.47106637900015,277520
0,100,5ms,shuffle,97.049593706,277520
4,10,2ms,shuffle,7.678797606999979,22934
1,20,100ms,shuffle,18.684527849000006,58500
1,50,100ms,shuffle,49.68757930599986,127046
2,10,10ms,shuffle,nan,nan
2,100,25ms,shuffle,100.65443327699995,277520
1,100,500ms,shuffle,100.3076722159999,277520
2,20,10ms,shuffle,18.201263185000244,58500
1,20,50ms,shuffle,18.043359719000364,58500
2,10,25ms,shuffle,7.390844716000174,22934
0,50,2ms,shuffle,47.25816535500053,127046
3,50,75ms,shuffle,46.798727465999946,127046
2,20,50ms,shuffle,18.552175997999257,58500
1,50,75ms,shuffle,47.707904147999216,127046
4,20,25ms,shuffle,18.93833268200069,58500
0,50,100ms,shuffle,47.27052170499974,127046
3,10,5ms,shuffle,7.275921875999302,22934
0,10,500ms,shuffle,nan,nan
0,50,25ms,shuffle,47.017365376999805,127046
4,50,75ms,shuffle,47.007742195999526,127046
1,10,200ms,shuffle,7.668180079999729,22934
4,20,75ms,shuffle,17.92185021899968,58500
4,20,10ms,shuffle,18.283836637000604,58500
1,20,75ms,shuffle,18.670967134999955,58500
4,20,2ms,shuffle,18.010626027999933,58500
4,100,5ms,shuffle,nan,nan
3,100,200ms,shuffle,nan,nan
4,10,200ms,shuffle,7.632969083000717,22934
4,50,10ms,shuffle,nan,nan
4,10,75ms,shuffle,7.474527534999652,22934
4,100,2ms,shuffle,97.89075416299966,277520
3,50,50ms,shuffle,47.73644627199974,127046
0,20,200ms,shuffle,17.840723970999534,58500
4,20,500ms,shuffle,18.23627428800137,58500
2,20,500ms,shuffle,18.34141535300114,58500
2,20,2ms,shuffle,18.122522497998943,58500
2,100,2ms,shuffle,100.91965073100073,277520
3,100,100ms,shuffle,nan,nan
4,100,75ms,shuffle,98.22400610299883,277520
0,10,5ms,shuffle,7.40436875100022,22934
3,10,25ms,shuffle,7.258441848000075,22934
4,10,500ms,shuffle,nan,nan
0,10,2ms,shuffle,7.312805682000544,22934
0,100,50ms,shuffle,101.8664061670006,277520
2,100,75ms,shuffle,96.74571816900061,277520
0,50,75ms,shuffle,46.878129922999506,127046
0,50,5ms,shuffle,45.86885488200096,127046
3,100,50ms,shuffle,nan,nan
4,100,25ms,shuffle,nan,nan
1,100,2ms,shuffle,nan,nan
2,100,100ms,shuffle,nan,nan
1,50,50ms,shuffle,46.57055195800058,127046
0,100,75ms,shuffle,99.2427572380002,277520
4,20,200ms,shuffle,18.375612931000433,58500
4,50,500ms,shuffle,45.4679018049992,127046
0,100,100ms,shuffle,nan,nan
4,50,5ms,shuffle,47.65953189299944,127046
1,50,5ms,shuffle,47.67153710000093,127046
0,10,100ms,shuffle,7.616197683000792,22934
2,10,200ms,shuffle,7.588944063001691,22934
1,20,500ms,shuffle,18.50537151000026,58500
2,50,25ms,shuffle,46.23241176999727,127046
3,10,75ms,shuffle,7.326681513000949,22934
4,50,100ms,shuffle,47.148248417001014,127046
2,100,5ms,shuffle,nan,nan
3,10,100ms,shuffle,7.365957758996956,22934
0,50,200ms,shuffle,47.065731148999475,127046
2,10,500ms,shuffle,7.414645018001465,22934
3,20,75ms,shuffle,18.551483675997588,58500
3,20,25ms,shuffle,18.154140836002625,58500
0,100,25ms,shuffle,98.84985894900092,277520
1,100,50ms,shuffle,nan,nan
1,50,200ms,shuffle,nan,nan
1,100,100ms,shuffle,nan,nan
4,10,5ms,shuffle,6.980468785000994,22934
4,10,100ms,shuffle,7.444652622998547,22934
3,10,10ms,shuffle,7.484410263998143,22934
1,50,10ms,shuffle,nan,nan
3,10,50ms,shuffle,7.523932980999234,22934
0,20,75ms,shuffle,17.588590212999407,58500
0,100,10ms,shuffle,100.32056256500073,277520
3,50,200ms,shuffle,47.05603294600223,127046
1,10,5ms,shuffle,7.841719591000583,22934
0,10,200ms,shuffle,7.84904389300209,22934
4,20,100ms,shuffle,17.960532287001115,58500
0,100,200ms,shuffle,101.52145064799697,277520
1,50,2ms,shuffle,47.091048247999424,127046
3,20,200ms,shuffle,19.046409149999818,58500
1,50,500ms,shuffle,46.84353634400031,127046
2,10,5ms,shuffle,7.56365858999925,22934
3,100,2ms,shuffle,nan,nan
4,100,100ms,shuffle,nan,nan
4,100,10ms,shuffle,98.00405093099835,277520
1,100,200ms,shuffle,nan,nan
2,20,25ms,shuffle,18.608694350001315,58500
2,100,10ms,shuffle,nan,nan
2,20,100ms,shuffle,nan,nan
1,100,75ms,shuffle,100.06302585400044,277520
0,20,500ms,shuffle,18.276970007998898,58500
0,20,25ms,shuffle,18.889051561000088,58500
0,100,500ms,shuffle,100.6948557129981,277520
2,50,2ms,shuffle,47.76587497199944,127046
4,10,25ms,shuffle,7.682369390000531,22934
1,20,10ms,shuffle,18.42672478699751,58500
3,100,75ms,shuffle,100.6560571839982,277520
2,20,5ms,shuffle,18.52982364899799,58500
2,50,5ms,shuffle,47.407874831998924,127046
2,20,200ms,shuffle,18.746056069001497,58500
1,100,5ms,shuffle,nan,nan
4,50,25ms,shuffle,nan,nan
2,100,200ms,shuffle,nan,nan
3,20,2ms,shuffle,nan,nan
2,10,75ms,shuffle,7.878011943001184,22934
3,50,500ms,shuffle,46.95030629499888,127046
1,10,2ms,shuffle,7.494639283999277,22934
2,50,500ms,shuffle,46.53489291900041,127046
1,20,25ms,shuffle,18.04147549699701,58500
1,50,25ms,shuffle,47.114019189997634,127046
3,20,100ms,shuffle,18.04315963800036,58500
2,10,2ms,shuffle,7.469734697002423,22934
0,20,50ms,shuffle,nan,nan
0,20,10ms,shuffle,18.46725257900107,58500
2,100,500ms,shuffle,nan,nan
1,100,25ms,shuffle,100.35360026400303,277520
1,20,200ms,shuffle,nan,nan
3,100,5ms,shuffle,100.46161720000237,278330
0,50,10ms,shuffle,47.557457949005766,127046
4,50,200ms,shuffle,47.45698763499968,127046
4,100,50ms,shuffle,nan,nan
1,10,75ms,shuffle,7.492834790995403,22934
3,50,25ms,shuffle,46.67766954800027,127046
4,10,50ms,shuffle,7.4120462279970525,22934
3,100,10ms,shuffle,102.55301202199917,277520
4,50,2ms,shuffle,47.20149155900435,127046
1,10,100ms,shuffle,7.643527425003413,22934
2,50,50ms,shuffle,46.976850685998215,127046
3,50,2ms,shuffle,47.43379241400544,127046
3,100,500ms,shuffle,nan,nan
1,10,10ms,shuffle,7.530426629004069,22934
4,100,500ms,shuffle,101.71767799399822,277520
3,10,200ms,shuffle,7.460955472000933,22934
4,100,200ms,shuffle,102.09396156899311,277520
4,20,50ms,shuffle,18.399712680002267,58500
3,50,10ms,shuffle,47.15155051500187,127721
2,50,100ms,shuffle,47.799520241998835,127046
3,20,10ms,shuffle,18.115373736000038,58500
0,10,10ms,shuffle,7.4507371180006885,22934
0,100,2ms,shuffle,100.69827560600243,277520
3,50,5ms,shuffle,47.608573216995865,127046
3,10,500ms,shuffle,7.6560010940011125,22934
